,Valor
263,3026.3290962879346
264,3197.960784561905
265,3349.3227016671726
266,3391.0960418559043
267,3391.0960418559043
268,3269.0969307763903
269,3269.0969307763903
270,9999999.0
271,2908.508168770515
272,3323.051757094685
273,3323.051757094685
274,3494.683445368655
275,3646.045362473923
276,3687.8187026626547
277,3687.8187026626547
278,3565.8195915831407
279,3565.8195915831407
280,9999999.0
281,2617.0544420410515
282,3026.1931538288454
283,3026.1931538288454
284,3197.824842102816
285,3349.1867592080835
286,3390.960099396815
287,3390.960099396815
288,3268.9609883173016
289,3268.9609883173016
290,9999999.0
291,2972.196732842582
292,3381.3354446303765
293,3381.3354446303765
294,3552.9671329043467
295,3704.3290500096145
296,3746.1023901983463
297,3746.1023901983463
298,3624.1032791188322
299,3624.1032791188322
300,9999999.0
301,2948.555057110923
302,3357.6937688987173
303,3357.6937688987173
304,3529.3254571726875
305,3680.6873742779553
306,3722.460714466687
307,3722.460714466687
308,3600.461603387173
309,3600.461603387173
310,9999999.0
311,2617.19038450014
312,3026.3290962879346
313,3026.3290962879346
314,3197.960784561905
315,3349.3227016671726
316,3391.0960418559043
317,3391.0960418559043
318,3269.0969307763903
319,3269.0969307763903
320,9999999.0
321,2593.1046371547973
322,3055.064903399667
323,3055.064903399667
324,3226.6965916736376
325,3378.058508778905
326,3419.8318489676367
327,3419.8318489676367
328,3263.2643350663157
329,3263.2643350663157
330,9999999.0
331,2078.8242475187926
332,2487.9629593065874
333,2487.9629593065874
334,2659.5946475805576
335,2810.9565646858255
336,2852.729904874557
337,2852.729904874557
338,2730.730793795043
339,2730.730793795043
340,9999999.0
341,2617.19038450014
342,3026.3290962879346
343,3026.3290962879346
344,3197.960784561905
345,3349.3227016671726
346,3391.0960418559043
347,3391.0960418559043
348,3269.0969307763903
349,3269.0969307763903
350,9999999.0
351,2379.1037714064037
352,2788.242483194198
353,2788.242483194198
354,2959.8741714681682
355,3111.236088573436
356,3153.0094287621678
357,3153.0094287621678
358,3031.0103176826537
359,3031.0103176826537
360,9999999.0
361,2948.555057110923
362,3357.6937688987173
363,3357.6937688987173
364,3529.3254571726875
365,3680.6873742779553
366,3722.460714466687
367,3722.460714466687
368,3600.461603387173
369,3600.461603387173
370,9999999.0
371,2449.1578204573357
372,2858.29653224513
373,2858.29653224513
374,3029.9282205191003
375,3181.290137624368
376,3223.0634778131
377,3223.0634778131
378,3101.0643667335858
379,3101.0643667335858
380,9999999.0
381,2362.123894888825
382,2771.262606676619
383,2771.262606676619
384,2942.8942949505895
385,3094.256212055857
386,3136.0295522445886
387,3136.0295522445886
388,3014.030441165075
389,3014.030441165075
390,9999999.0
391,2972.196732842582
392,3381.3354446303765
393,3381.3354446303765
394,3552.9671329043467
395,3704.3290500096145
396,3746.1023901983463
397,3746.1023901983463
398,3624.1032791188322
399,3624.1032791188322
400,9999999.0
401,2127.809473631624
402,2536.948185419418
403,2536.948185419418
404,2708.579873693389
405,2859.9417907986563
406,2901.715130987388
407,2901.715130987388
408,2779.7160199078744
409,2779.7160199078744
410,9999999.0
411,2832.651306140742
412,3241.790017928536
413,3241.790017928536
414,3413.4217062025064
415,3564.783623307774
416,3606.556963496506
417,3606.556963496506
418,3484.557852416992
419,3484.557852416992
420,9999999.0
421,2306.433328184607
422,2715.5720399724014
423,2715.5720399724014
424,2887.2037282463716
425,3038.5656453516394
426,3080.338985540371
427,3080.338985540371
428,2958.339874460857
429,2958.339874460857
430,9999999.0
431,2462.7355683654973
432,2924.6958346103675
433,2924.6958346103675
434,3096.3275228843377
435,3247.6894399896055
436,3289.462780178337
437,3289.462780178337
438,3132.8952662770153
439,3132.8952662770153
440,9999999.0
441,2717.735067724632
442,3126.873779512426
443,3126.873779512426
444,3298.5054677863964
445,3449.867384891664
446,3491.640725080396
447,3491.640725080396
448,3369.641614000882
449,3369.641614000882
450,9999999.0
451,2362.123894888825
452,2771.262606676619
453,2771.262606676619
454,2942.8942949505895
455,3094.256212055857
456,3136.0295522445886
457,3136.0295522445886
458,3014.030441165075
459,3014.030441165075
460,9999999.0
461,2717.735067724632
462,3126.873779512426
463,3126.873779512426
464,3298.5054677863964
465,3449.867384891664
466,3491.640725080396
467,3491.640725080396
468,3369.641614000882
469,3369.641614000882
470,9999999.0
471,2832.651306140742
472,3241.790017928536
473,3241.790017928536
474,3413.4217062025064
475,3564.783623307774
476,3606.556963496506
477,3606.556963496506
478,3484.557852416992
479,3484.557852416992
480,9999999.0
481,2658.755769732092
482,3067.8944815198865
483,3067.8944815198865
484,3239.5261697938568
485,3390.8880868991246
486,3432.6614270878563
487,3432.6614270878563
488,3310.6623160083423
489,3310.6623160083423
490,9999999.0
491,2373.0092931896634
492,2782.1480049774573
493,2782.1480049774573
494,2953.779693251428
495,3105.1416103566953
496,3146.914950545427
497,3146.914950545427
498,3024.9158394659135
499,3024.9158394659135
500,9999999.0
501,2832.651306140742
502,3241.790017928536
503,3241.790017928536
504,3413.4217062025064
505,3564.783623307774
506,3606.556963496506
507,3606.556963496506
508,3484.557852416992
509,3484.557852416992
510,9999999.0
511,2832.651306140742
512,3241.790017928536
513,3241.790017928536
514,3413.4217062025064
515,3564.783623307774
516,3606.556963496506
517,3606.556963496506
518,3484.557852416992
519,3484.557852416992
520,9999999.0
521,2188.343410144212
522,2597.4821219320065
523,2597.4821219320065
524,2769.113810205977
525,2920.4757273112446
526,2962.2490674999763
527,2962.2490674999763
528,2840.2499564204627
529,2840.2499564204627
530,9999999.0
531,2600.3315745743334
532,3009.470286362128
533,3009.470286362128
534,3181.101974636098
